beta,sample,sim,high_cheese_mean,high_cheese_sd,low_cheese_mean,low_cheese_sd,p
0,50,57,0.8,0.18,0.84,0.2,0.487173010171548
0,50,58,0.87,0.18,0.79,0.23,0.218038355864368
0,50,59,0.82,0.22,0.78,0.21,0.456082956019489
0,50,60,0.78,0.19,0.79,0.22,0.876403854971513
0,50,61,0.77,0.2,0.75,0.2,0.735216805364396
0,50,62,0.77,0.18,0.78,0.19,0.89974289615448
0,50,63,0.7,0.23,0.7,0.2,0.897359245007393
0,50,64,0.89,0.18,0.79,0.27,0.104191080018097
0,50,65,0.87,0.18,0.87,0.19,0.992760463823857
0,50,66,0.74,0.17,0.81,0.19,0.227568545732202
0,50,67,0.92,0.17,0.77,0.16,0.00177818400975738
0,50,68,0.87,0.19,0.81,0.16,0.307822625001398
0,50,69,0.73,0.22,0.79,0.19,0.335084613323532
0,50,70,0.75,0.17,0.82,0.17,0.187412112310343
0,50,71,0.82,0.16,0.77,0.17,0.336106146759954
0,50,72,0.76,0.18,0.78,0.21,0.751489550391266
0,50,73,0.74,0.26,0.85,0.2,0.109508235956119
0,50,74,0.82,0.19,0.76,0.23,0.344033413732675
0,50,75,0.84,0.16,0.76,0.21,0.15399491912692
0,50,76,0.81,0.16,0.75,0.18,0.178834447789895
0,50,77,0.78,0.16,0.85,0.19,0.189947430379327
0,50,78,0.75,0.25,0.83,0.17,0.263588828979882
0,50,79,0.78,0.21,0.78,0.19,0.913498756628701
0,50,80,0.81,0.17,0.77,0.2,0.426743167812125
0,50,81,0.71,0.15,0.77,0.26,0.340370787900404
0,50,82,0.78,0.2,0.77,0.18,0.810331155699525
0,50,83,0.88,0.17,0.74,0.21,0.0190047078945693
0,50,84,0.71,0.22,0.72,0.22,0.824394392554773
0,50,85,0.78,0.19,0.74,0.25,0.50875237008718
0,50,86,0.85,0.13,0.8,0.16,0.259884667089795
0,50,87,0.68,0.21,0.83,0.25,0.039456112663653
0,50,88,0.8,0.19,0.81,0.22,0.868241492319538
0,50,89,0.83,0.15,0.8,0.23,0.521588639541287
0,50,90,0.82,0.18,0.77,0.18,0.355248668568467
0,50,91,0.8,0.18,0.8,0.21,0.978664689021352
0,50,92,0.77,0.16,0.86,0.24,0.136611912622472
0,50,93,0.74,0.19,0.84,0.22,0.104196943745497
0,50,94,0.74,0.2,0.82,0.19,0.189993593621437
0,50,95,0.76,0.25,0.83,0.21,0.314238750471895
0,50,96,0.75,0.17,0.79,0.22,0.515756066733852
0,50,97,0.81,0.19,0.78,0.23,0.578000650400682
0,50,98,0.76,0.21,0.78,0.18,0.800825005224719
0,50,99,0.83,0.13,0.84,0.21,0.868835605154378
0,50,100,0.89,0.23,0.78,0.17,0.0837685682079195
0,60,1,0.8,0.23,0.76,0.17,0.452542814265229
0,60,2,0.73,0.17,0.78,0.16,0.229936213359389
0,60,3,0.86,0.14,0.8,0.21,0.221681958084982
0,60,4,0.77,0.21,0.84,0.2,0.21900581280576
0,60,5,0.83,0.18,0.81,0.19,0.621882224805953
0,60,6,0.7,0.15,0.81,0.24,0.0232674598190048
0,60,7,0.85,0.18,0.76,0.16,0.0355218397473763
0,60,8,0.84,0.15,0.8,0.19,0.304464363322453
0,60,9,0.71,0.19,0.78,0.17,0.194827657651899
0,60,10,0.85,0.14,0.83,0.21,0.734856408218785
0,60,11,0.75,0.15,0.73,0.17,0.713085261769202
0,60,12,0.83,0.16,0.86,0.16,0.536289373642822
0,60,13,0.81,0.22,0.78,0.18,0.586498058008034
0,60,14,0.79,0.17,0.82,0.16,0.407492902849244
0,60,15,0.82,0.2,0.81,0.19,0.835831568446997
0,60,16,0.71,0.16,0.79,0.2,0.0906182578751479
0,60,17,0.8,0.23,0.8,0.2,0.995203891769365
0,60,18,0.76,0.21,0.83,0.17,0.168986734191223
0,60,19,0.82,0.2,0.76,0.19,0.208976622038612
0,60,20,0.8,0.17,0.86,0.21,0.208596133311196
0,60,21,0.77,0.16,0.82,0.22,0.30772857666437
0,60,22,0.81,0.18,0.83,0.18,0.751834089650064
0,60,23,0.71,0.18,0.82,0.19,0.0441449341484264
0,60,24,0.79,0.19,0.81,0.23,0.757657002432703
0,60,25,0.78,0.18,0.78,0.18,0.995636177647048
0,60,26,0.81,0.18,0.75,0.19,0.186907502481953
0,60,27,0.77,0.19,0.79,0.22,0.681840467564032
0,60,28,0.76,0.23,0.83,0.21,0.290788700644893
0,60,29,0.8,0.19,0.87,0.18,0.196365737572425
0,60,30,0.87,0.18,0.81,0.18,0.213125018167543
0,60,31,0.76,0.21,0.82,0.17,0.233634378930169
0,60,32,0.86,0.18,0.8,0.19,0.258941352769445
0,60,33,0.8,0.22,0.82,0.2,0.79857474776298
0,60,34,0.83,0.18,0.72,0.26,0.0725754702289727
0,60,35,0.82,0.19,0.82,0.23,0.967805595847298
0,60,36,0.82,0.2,0.79,0.19,0.620402659009092
0,60,37,0.84,0.24,0.83,0.18,0.853615113386445
0,60,38,0.78,0.18,0.83,0.18,0.264019293250556
0,60,39,0.82,0.23,0.83,0.19,0.859740209631726
0,60,40,0.89,0.23,0.81,0.19,0.205052116848551
0,60,41,0.8,0.27,0.78,0.19,0.770305990271684
0,60,42,0.79,0.21,0.75,0.2,0.488962113736765
0,60,43,0.81,0.16,0.78,0.19,0.6047683604353
0,60,44,0.82,0.26,0.79,0.17,0.660226717118895
0,60,45,0.74,0.19,0.8,0.22,0.295359158092637
0,60,46,0.81,0.2,0.83,0.19,0.770630451322168
0,60,47,0.73,0.19,0.81,0.18,0.130838318454036
0,60,48,0.88,0.19,0.81,0.21,0.235707492990382
0,60,49,0.78,0.2,0.77,0.19,0.813673917344212
0,60,50,0.79,0.19,0.8,0.21,0.848955015547898
0,60,51,0.8,0.2,0.74,0.2,0.221272463751104
0,60,52,0.75,0.21,0.73,0.21,0.704563004145648
0,60,53,0.78,0.18,0.77,0.22,0.886108663212437
0,60,54,0.88,0.24,0.85,0.19,0.621734852514815
0,60,55,0.82,0.22,0.85,0.23,0.645574410328459
0,60,56,0.7,0.18,0.8,0.23,0.0659732381172464
0,60,57,0.75,0.21,0.8,0.23,0.356693362727382
0,60,58,0.79,0.22,0.78,0.18,0.903356617382707
0,60,59,0.86,0.17,0.76,0.19,0.0475697829965728
0,60,60,0.81,0.18,0.86,0.2,0.272096762055611
0,60,61,0.81,0.21,0.8,0.21,0.864018543921096
0,60,62,0.84,0.21,0.75,0.18,0.100097474416968
0,60,63,0.76,0.19,0.8,0.22,0.501463724961091
0,60,64,0.82,0.16,0.78,0.18,0.388843145071959
0,60,65,0.8,0.2,0.79,0.17,0.743364958430738
0,60,66,0.74,0.13,0.81,0.21,0.0961754279653504
0,60,67,0.75,0.2,0.81,0.22,0.283975125254663
0,60,68,0.78,0.19,0.78,0.25,0.976055914685562
0,60,69,0.75,0.19,0.84,0.18,0.0735635621997993
0,60,70,0.83,0.19,0.79,0.2,0.481037973127365
0,60,71,0.84,0.19,0.83,0.21,0.855388451130066
0,60,72,0.88,0.17,0.8,0.22,0.12128754030152
0,60,73,0.85,0.18,0.79,0.18,0.264376043284447
0,60,74,0.77,0.18,0.84,0.22,0.209650423349927
0,60,75,0.8,0.18,0.77,0.19,0.467809330663057
0,60,76,0.85,0.2,0.8,0.19,0.326285501360102
0,60,77,0.74,0.21,0.75,0.19,0.954621470418224
0,60,78,0.87,0.19,0.74,0.18,0.0191108695743087
0,60,79,0.7,0.2,0.83,0.27,0.0422189650161382
0,60,80,0.81,0.2,0.79,0.23,0.729088974955986
0,60,81,0.82,0.2,0.82,0.25,0.916398480290577
0,60,82,0.76,0.21,0.77,0.19,0.870975806296474
0,60,83,0.8,0.17,0.85,0.23,0.308599347028588
0,60,84,0.82,0.19,0.86,0.21,0.45108992089901
0,60,85,0.74,0.22,0.78,0.15,0.379415493041559
0,60,86,0.71,0.15,0.82,0.2,0.0318686668177436
0,60,87,0.73,0.23,0.77,0.19,0.538870760230369
0,60,88,0.82,0.25,0.8,0.21,0.712999829093485
0,60,89,0.81,0.22,0.78,0.15,0.569398384995906
0,60,90,0.75,0.17,0.87,0.22,0.0154694742276376
0,60,91,0.74,0.22,0.79,0.17,0.383208249798515
